answer,cluster
> наглядных/раздаточных матер.,0
методичка будет полезной п,5
акцент на то как надо,0
больше вним-я обращать на чат,0
больше времени на обсуждение,1
времени,4
дискуссия,1
больше выступлений руководства,5
больше практики,4
выделение времени на практичес,6
практику,1
вопросы заранее прислать,5
заранее направлять кейсы,0
всё норм,2
всё ок,2
все отлично,2
все устраивает. можно чаще,4
нет,3
ни чего,3
ничего,3
ничего не менять.,3
делать почаще такие тренинги,0
проводить мероприятия чаще,6
чаще проводить,4
использовать консультантов,6
новое в свкиа,1
обозн повестку и собр мнения,5
побольше кофе-брейков,0
примеры правильного заполнения,6
сделать более комфортный тайми,6
тайминг,1
собираться в таком формат,0
сократить срок совещания в дво,6
улучшить качество связи вкс,6
формат мозгового штурма,1
