question,answer,cluster,summariz,coord_x,coord_y,tonality,size,color,uuid
Ключевые ассоциации с парадигмой политического реализма (5 слов),> наглядных/раздаточных матер.,0,> наглядных/раздаточных матер.,1.9176571,14.29069,neutrals,10,red,85ad539d-cebf-4799-8783-dc0cf269d720
Ключевые ассоциации с парадигмой политического реализма (5 слов),методичка будет полезной п,5,методичка будет полезной п,17.531841,21.44492,positives,10,red,2806eaa7-97ae-4299-8b0f-4312f63a183b
Ключевые ассоциации с парадигмой политического реализма (5 слов),акцент на то как надо,0,акцент на то как надо,25.08654,-7.34311,neutrals,10,red,72a8cf18-6f9f-46a9-ae73-6a51a4587756
Ключевые ассоциации с парадигмой политического реализма (5 слов),больше вним-я обращать на чат,0,больше вним-я обращать на чат,-11.076476,21.926754,neutrals,10,red,55d3fed2-a9e7-4d29-80a9-a242efa9b5d4
Ключевые ассоциации с парадигмой политического реализма (5 слов),больше времени на обсуждение,1,больше времени на обсуждение,16.244768,3.2526257,neutrals,10,red,78bc6510-fb2d-4d9b-9fd8-eefe0ee56ace
Ключевые ассоциации с парадигмой политического реализма (5 слов),времени,4,времени,-10.306003,-13.844274,neutrals,10,red,4ce9a414-13ac-4190-a149-64184473761c
Ключевые ассоциации с парадигмой политического реализма (5 слов),дискуссия,1,дискуссия,22.656712,2.6287272,neutrals,10,red,f81ea561-110e-4f46-ae29-7f77eda8abbd
Ключевые ассоциации с парадигмой политического реализма (5 слов),больше выступлений руководства,5,больше выступлений руководства,-3.4922512,39.43893,neutrals,10,red,3bee4254-82fe-4de5-9ed9-619403051cce
Ключевые ассоциации с парадигмой политического реализма (5 слов),больше практики,4,больше практики,22.036755,17.473509,neutrals,10,red,b0530053-9574-458b-aa7d-d99e9323a1d9
Ключевые ассоциации с парадигмой политического реализма (5 слов),выделение времени на практичес,6,выделение времени на практичес,2.6207597,-0.8447926,neutrals,10,red,a5e2132c-92be-4332-9e8d-ad35ffbe9c0d
Ключевые ассоциации с парадигмой политического реализма (5 слов),практику,1,практику,24.360481,13.618388,neutrals,10,red,e339ede3-cb50-41a7-862e-fbe708935a0e
Ключевые ассоциации с парадигмой политического реализма (5 слов),вопросы заранее прислать,5,вопросы заранее прислать,-12.723606,34.25253,neutrals,10,red,60d9e0b0-6477-47a3-8f24-0c63cc7367c3
Ключевые ассоциации с парадигмой политического реализма (5 слов),заранее направлять кейсы,0,заранее направлять кейсы,-11.731808,26.120811,neutrals,10,red,1c4e425d-8210-4b85-8f45-6fefa724085c
Ключевые ассоциации с парадигмой политического реализма (5 слов),всё норм,2,всё норм,2.8872638,-50.847668,neutrals,10,red,46b08374-2076-4774-aab0-aef0824762b9
Ключевые ассоциации с парадигмой политического реализма (5 слов),всё ок,2,всё ок,-1.2138462,-50.700897,neutrals,10,red,f83f1ae6-7d0d-4ff1-b24e-2ef7cd006b91
На каких еще языках кроме английского вы бы хотели учиться?,все отлично,2,все отлично,1.4084766,-55.751846,positives,10,red,29dd225f-34a0-43bd-b0d7-7aa35123f1d4
На каких еще языках кроме английского вы бы хотели учиться?,все устраивает. можно чаще,4,все устраивает. можно чаще,-20.073318,-13.193706,neutrals,10,red,e011dca4-bdf3-4bf8-b5b3-d8f34dc52228
На каких еще языках кроме английского вы бы хотели учиться?,нет,3,нет,-3.9237173,-36.453537,neutrals,10,red,407617bc-8ca8-4ddb-8d1b-5a8be4670296
На каких еще языках кроме английского вы бы хотели учиться?,ни чего,3,ни чего,2.5990286,-40.57009,neutrals,10,red,cfd0920b-0291-47cf-89b2-762c1595ba65
На каких еще языках кроме английского вы бы хотели учиться?,ничего,3,ничего,3.1753922,-36.816345,neutrals,10,red,b1c98afe-c998-40ba-9536-dd29df9c66ac
На каких еще языках кроме английского вы бы хотели учиться?,ничего не менять.,3,ничего не менять.,7.6283736,-32.82712,neutrals,10,red,0771cbc2-f523-400c-8119-bbb805c18280
На каких еще языках кроме английского вы бы хотели учиться?,делать почаще такие тренинги,0,делать почаще такие тренинги,-4.9660463,22.878708,neutrals,10,red,3d16f046-a34d-400d-b785-a75a2037f014
На каких еще языках кроме английского вы бы хотели учиться?,проводить мероприятия чаще,6,проводить мероприятия чаще,-15.748547,0.8471862,neutrals,10,red,5dae2cdc-a6ff-41d6-9971-28aa71ebd1e4
На каких еще языках кроме английского вы бы хотели учиться?,чаще проводить,4,чаще проводить,-15.631139,-10.262587,neutrals,10,red,19b39ded-e44b-420b-b707-7a802d7e7ed0
На каких еще языках кроме английского вы бы хотели учиться?,использовать консультантов,6,использовать консультантов,-5.0771956,12.200285,neutrals,10,red,678140be-c5bf-4b4a-ba11-314fd029ae0a
На каких еще языках кроме английского вы бы хотели учиться?,новое в свкиа,1,новое в свкиа,31.50652,2.447232,neutrals,10,red,64bc8146-40a8-4756-a1ca-318348027d3f
На каких еще языках кроме английского вы бы хотели учиться?,обозн повестку и собр мнения,5,обозн повестку и собр мнения,-7.01017,36.635525,neutrals,10,red,1f0f8515-d99e-4d34-bd5e-dde4a43cf8bb
На каких еще языках кроме английского вы бы хотели учиться?,побольше кофе-брейков,0,побольше кофе-брейков,-20.139374,21.78053,neutrals,10,red,a62702d5-d5c1-4f44-8974-80cf3d747b8d
На каких еще языках кроме английского вы бы хотели учиться?,примеры правильного заполнения,6,примеры правильного заполнения,1.80637,3.3430836,neutrals,10,red,a9f0b5ce-b65d-4686-b588-b5346a660cd7
На каких еще языках кроме английского вы бы хотели учиться?,сделать более комфортный тайми,6,сделать более комфортный тайми,-15.869369,14.188612,neutrals,10,red,ec7cd6a6-c526-408c-8518-8ab17e68cf89
На каких еще языках кроме английского вы бы хотели учиться?,тайминг,1,тайминг,28.552816,9.60912,neutrals,10,red,1f8d81db-f25c-4c4c-970d-674ad4b4f429
На каких еще языках кроме английского вы бы хотели учиться?,собираться в таком формат,0,собираться в таком формат,-21.250242,0.6094486,neutrals,10,red,a2190a67-c7f3-4840-b4ba-8380481ecfd0
На каких еще языках кроме английского вы бы хотели учиться?,сократить срок совещания в дво,6,сократить срок совещания в дво,-12.137885,5.5205636,neutrals,10,red,3971fabe-3ad5-49a3-8529-e80e019f02b3
На каких еще языках кроме английского вы бы хотели учиться?,улучшить качество связи вкс,6,улучшить качество связи вкс,-11.444167,11.185925,neutrals,10,red,999bcee4-8cf9-4ee0-bf43-4300f5f67ca5
На каких еще языках кроме английского вы бы хотели учиться?,формат мозгового штурма,1,формат мозгового штурма,24.381348,-1.0399483,neutrals,10,red,ab425997-89ca-41f1-b3bc-6374fd959142
